content_id,source_id,source_title,content_type,content_text,topic_label,created_at,like_count,rule_sentiment_label,rule_sentiment_confidence,rule_sentiment_reason,rule_stance_label,rule_stance_confidence,rule_stance_reason,sentiment_label,sentiment_confidence,sentiment_reason,stance_label,stance_confidence,stance_reason,matched_keywords,sentiment_candidate_labels,stance_candidate_labels,llm_sentiment_label,llm_sentiment_confidence,llm_sentiment_reason,llm_stance_label,llm_stance_confidence,llm_stance_reason,need_review,label_method
bilibili_comment:274469624353,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,reply,肯德基麦当劳我知道是预制菜，也是预制菜的价格，肯德基麦当劳从来没说他们是现做的,prepared_food_authenticity,2025-09-12T22:09:53+08:00,118,neutral,0.4,未命中明确线索。,question_xibei,0.75,规则命中 question_xibei 关键词：预制菜。,neutral,0.85,LLM校正：客观陈述事实，无情绪色彩,question_xibei,0.8,LLM校正：通过对比肯德基麦当劳，暗示西贝以新鲜为名却用预制菜,"{""sentiment"": {}, ""stance"": {""question_xibei"": [""预制菜""], ""neutral_discussion"": [""麦当劳"", ""肯德基""]}}",,"question_xibei,neutral_discussion",neutral,0.85,客观陈述事实，无情绪色彩,question_xibei,0.8,通过对比肯德基麦当劳，暗示西贝以新鲜为名却用预制菜,false,rule+llm
bilibili_comment:274471553313,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,comment,主要是西贝太贵了[doge]你看有人骂萨莉亚吗,price_value,2025-09-12T22:29:19+08:00,3209,sarcastic,0.75,规则命中 sarcastic 关键词：doge。,question_xibei,0.75,"规则命中 question_xibei 关键词：西贝太贵, 西贝。",sarcastic,0.9,LLM校正：使用[doge]表情且对比萨莉亚，讽刺西贝贵,question_xibei,0.85,LLM校正：质疑西贝价格高,"{""sentiment"": {""sarcastic"": [""doge""], ""negative"": [""太贵"", ""贵""]}, ""stance"": {""question_xibei"": [""西贝太贵"", ""西贝""], ""neutral_discussion"": [""萨莉亚""], ""unclear_meme"": [""doge""]}}","sarcastic,negative","question_xibei,neutral_discussion,unclear_meme",sarcastic,0.9,使用[doge]表情且对比萨莉亚，讽刺西贝贵,question_xibei,0.85,质疑西贝价格高,true,rule+llm
bilibili_comment:274472769745,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,comment,一眼望去全是冻货，一个餐馆甚至没有一点新鲜蔬菜[doge][doge][doge][doge],prepared_food_authenticity,2025-09-12T22:42:04+08:00,1283,sarcastic,0.75,规则命中 sarcastic 关键词：doge。,question_xibei,0.6,规则命中 question_xibei 关键词：冻货。,sarcastic,0.9,LLM校正：用冻货、无新鲜蔬菜等描述带[doge]表情，讽刺,question_xibei,0.85,LLM校正：质疑西贝食材真实性,"{""sentiment"": {""sarcastic"": [""doge""]}, ""stance"": {""question_xibei"": [""冻货""], ""unclear_meme"": [""doge""]}}",sarcastic,"question_xibei,unclear_meme",sarcastic,0.9,用冻货、无新鲜蔬菜等描述带[doge]表情，讽刺,question_xibei,0.85,质疑西贝食材真实性,true,rule+llm
bilibili_comment:274473143361,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,reply,去萨莉亚就是为了吃预制菜的,prepared_food_authenticity,2025-09-12T22:43:55+08:00,447,neutral,0.4,未命中明确线索。,question_xibei,0.6,规则命中 question_xibei 关键词：预制菜。,neutral,0.85,LLM校正：客观陈述萨莉亚是预制菜，无情绪,question_xibei,0.75,LLM校正：暗示西贝也是预制菜但价格贵,"{""sentiment"": {}, ""stance"": {""question_xibei"": [""预制菜""], ""neutral_discussion"": [""萨莉亚""]}}",,"question_xibei,neutral_discussion",neutral,0.85,客观陈述萨莉亚是预制菜，无情绪,question_xibei,0.75,暗示西贝也是预制菜但价格贵,false,rule+llm
bilibili_comment:274473845969,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,comment,主要西贝那个价别说预制菜，就说直接现做也贵的离谱,prepared_food_authenticity,2025-09-12T22:51:02+08:00,1206,sarcastic,0.75,规则命中 sarcastic 关键词：离谱。,question_xibei,0.9,"规则命中 question_xibei 关键词：西贝, 预制菜。",sarcastic,0.85,LLM校正：说价格贵的离谱，带讽刺语气,question_xibei,0.85,LLM校正：质疑西贝价格高,"{""sentiment"": {""sarcastic"": [""离谱""], ""negative"": [""贵"", ""离谱""]}, ""stance"": {""question_xibei"": [""西贝"", ""预制菜""]}}","sarcastic,negative",question_xibei,sarcastic,0.85,说价格贵的离谱，带讽刺语气,question_xibei,0.85,质疑西贝价格高,true,rule+llm
bilibili_comment:274475224849,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,reply,经过处理的食材储存时间变长甚至变很长是符合科技的，但是不符合我们的嘴和胃，而且还不符合我们的钱包就很过分,prepared_food_authenticity,2025-09-12T23:05:41+08:00,166,neutral,0.4,未命中明确线索。,unclear_meme,0.4,未命中明确线索。,neutral,0.8,LLM校正：客观讨论科技与胃的矛盾，语气平和,unclear_meme,0.7,LLM校正：没有明确指向西贝或老罗，立场模糊,"{""sentiment"": {}, ""stance"": {}}",,,neutral,0.8,客观讨论科技与胃的矛盾，语气平和,unclear_meme,0.7,没有明确指向西贝或老罗，立场模糊,true,rule+llm
bilibili_comment:274475277409,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,reply,对于售卖预制菜应不应该提前告知，我觉得结论是：应该，所有餐厅都应该，至于隔夜羊排卖200，我吃不吃是我的事，希望餐饮界能懂,consumer_right_to_know,2025-09-12T23:07:15+08:00,85,neutral,0.4,未命中明确线索。,question_xibei,0.6,规则命中 question_xibei 关键词：预制菜。,neutral,0.85,LLM校正：给出自己的观点，情绪中性,question_xibei,0.8,LLM校正：认为餐厅应告知预制菜，针对西贝,"{""sentiment"": {}, ""stance"": {""question_xibei"": [""预制菜""], ""neutral_discussion"": [""餐饮""]}}",,"question_xibei,neutral_discussion",neutral,0.85,给出自己的观点，情绪中性,question_xibei,0.8,认为餐厅应告知预制菜，针对西贝,false,rule+llm
bilibili_comment:274478548337,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,reply,西贝在北京最开始的时候是单店形式。大铁锅炖鱼，现烤羊排，莜面什么的，原来的西贝叫西贝莜面村。也不便宜，但是品质还可以，作为家庭或者朋友聚餐还可以，算是个有点质感的餐厅。现在是快餐了，预制菜半预制中央厨房出品基本100％了。保留下来的只有上餐时间超过免单这个。唉就说自己是半预制快餐怎么了，吉野家真功夫面条不都差不多么,prepared_food_authenticity,2025-09-12T23:42:40+08:00,527,neutral,0.4,未命中明确线索。,question_xibei,0.9,"规则命中 question_xibei 关键词：西贝, 预制菜。",neutral,0.85,LLM校正：陈述西贝变化，无情绪,question_xibei,0.8,LLM校正：指出西贝现在基本是预制菜，质疑其定位,"{""sentiment"": {}, ""stance"": {""question_xibei"": [""西贝"", ""预制菜""]}}",,question_xibei,neutral,0.85,陈述西贝变化，无情绪,question_xibei,0.8,指出西贝现在基本是预制菜，质疑其定位,false,rule+llm
bilibili_comment:274480640785,bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,comment,这次真的要支持老罗，客观维权，否则以后我们每个人都将是消费陷阱的受害者。,luoyonghao_persona,2025-09-13T00:04:19+08:00,192,positive,0.75,规则命中 positive 关键词：支持。,support_luoyonghao,0.9,"规则命中 support_luoyonghao 关键词：支持老罗, 维权。",positive,0.9,LLM校正：明确支持老罗，正面评价,support_luoyonghao,0.9,LLM校正：直接表示支持老罗维权,"{""sentiment"": {""positive"": [""支持""]}, ""stance"": {""support_luoyonghao"": [""支持老罗"", ""维权""]}}",positive,support_luoyonghao,positive,0.9,明确支持老罗，正面评价,support_luoyonghao,0.9,直接表示支持老罗维权,false,rule+llm
bilibili_comment:274481022673,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,comment,百分之90的湘菜馆都是预制菜,prepared_food_authenticity,2025-09-13T00:10:29+08:00,47,neutral,0.4,未命中明确线索。,question_xibei,0.75,规则命中 question_xibei 关键词：预制菜。,neutral,0.85,LLM校正：陈述事实，无情绪,question_xibei,0.7,LLM校正：暗示西贝也是预制菜,"{""sentiment"": {}, ""stance"": {""question_xibei"": [""预制菜""]}}",,question_xibei,neutral,0.85,陈述事实，无情绪,question_xibei,0.7,暗示西贝也是预制菜,false,rule+llm
bilibili_comment:274481629265,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,reply,它都不嫌我穷，我为什么要嫌它low,other_unclear,2025-09-13T00:16:15+08:00,115,neutral,0.4,未命中明确线索。,unclear_meme,0.4,未命中明确线索。,neutral,0.8,LLM校正：调侃语气，但无明显情绪,unclear_meme,0.8,LLM校正：玩梗，无法判断具体立场,"{""sentiment"": {}, ""stance"": {}}",,,neutral,0.8,调侃语气，但无明显情绪,unclear_meme,0.8,玩梗，无法判断具体立场,true,rule+llm
bilibili_comment:274484898497,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,reply,我吃过两次，第一次是好奇，结论是又贵又难吃，第二次朋友非要去吃，结论还是又贵又难吃，反正是不会主动去碰西贝了,price_value,2025-09-13T00:59:03+08:00,36,negative,0.75,规则命中 negative 关键词：贵。,question_xibei,0.75,规则命中 question_xibei 关键词：西贝。,negative,0.85,LLM校正：明确表达又贵又难吃，负面评价,question_xibei,0.85,LLM校正：质疑西贝价格和品质,"{""sentiment"": {""negative"": [""贵""]}, ""stance"": {""question_xibei"": [""西贝""]}}",negative,question_xibei,negative,0.85,明确表达又贵又难吃，负面评价,question_xibei,0.85,质疑西贝价格和品质,false,rule+llm
