content_id,source_id,source_title,content_type,content_text,created_at,like_count,rule_topic_label,rule_topic_confidence,rule_topic_reason,topic_label,topic_confidence,topic_reason,topic_matched_keywords,topic_candidate_labels,llm_topic_label,llm_topic_confidence,llm_topic_reason,need_review,label_method
bilibili_comment:274469624353,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,reply,肯德基麦当劳我知道是预制菜，也是预制菜的价格，肯德基麦当劳从来没说他们是现做的,2025-09-12T22:09:53+08:00,118,prepared_food_authenticity,0.75,"规则命中 prepared_food_authenticity 关键词：预制菜, 现做, 预制。",prepared_food_authenticity,0.85,LLM校正：明确讨论预制菜，提及肯德基麦当劳预制菜,"{""prepared_food_authenticity"": [""预制菜"", ""现做"", ""预制""], ""price_value"": [""价格"", ""麦当劳"", ""肯德基""], ""catering_industry_general"": [""麦当劳"", ""肯德基""]}","prepared_food_authenticity,price_value,catering_industry_general",prepared_food_authenticity,0.85,明确讨论预制菜，提及肯德基麦当劳预制菜,true,rule+llm
bilibili_comment:274471553313,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,comment,主要是西贝太贵了[doge]你看有人骂萨莉亚吗,2025-09-12T22:29:19+08:00,3209,price_value,0.75,"规则命中 price_value 关键词：贵, 萨莉亚。",price_value,0.85,LLM校正：主要抱怨西贝太贵，与萨莉亚比较,"{""price_value"": [""贵"", ""萨莉亚""], ""catering_industry_general"": [""萨莉亚""], ""mockery_meme"": [""doge""]}","price_value,catering_industry_general,mockery_meme",price_value,0.85,主要抱怨西贝太贵，与萨莉亚比较,true,rule+llm
bilibili_comment:274472769745,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,comment,一眼望去全是冻货，一个餐馆甚至没有一点新鲜蔬菜[doge][doge][doge][doge],2025-09-12T22:42:04+08:00,1283,prepared_food_authenticity,0.75,"规则命中 prepared_food_authenticity 关键词：冻货, 新鲜。",prepared_food_authenticity,0.85,LLM校正：吐槽全是冻货，没有新鲜蔬菜,"{""prepared_food_authenticity"": [""冻货"", ""新鲜""], ""mockery_meme"": [""doge""]}","prepared_food_authenticity,mockery_meme",prepared_food_authenticity,0.85,吐槽全是冻货，没有新鲜蔬菜,true,rule+llm
bilibili_comment:274473143361,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,reply,去萨莉亚就是为了吃预制菜的,2025-09-12T22:43:55+08:00,447,prepared_food_authenticity,0.75,"规则命中 prepared_food_authenticity 关键词：预制菜, 预制。",prepared_food_authenticity,0.85,LLM校正：明确提及预制菜,"{""prepared_food_authenticity"": [""预制菜"", ""预制""], ""price_value"": [""萨莉亚""], ""catering_industry_general"": [""萨莉亚""]}","prepared_food_authenticity,price_value,catering_industry_general",prepared_food_authenticity,0.85,明确提及预制菜,true,rule+llm
bilibili_comment:274473845969,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,comment,主要西贝那个价别说预制菜，就说直接现做也贵的离谱,2025-09-12T22:51:02+08:00,1206,prepared_food_authenticity,0.75,"规则命中 prepared_food_authenticity 关键词：预制菜, 现做, 预制。",prepared_food_authenticity,0.8,LLM校正：讨论预制菜和现做，但核心是预制菜,"{""prepared_food_authenticity"": [""预制菜"", ""现做"", ""预制""], ""price_value"": [""贵""], ""mockery_meme"": [""离谱""]}","prepared_food_authenticity,price_value,mockery_meme",prepared_food_authenticity,0.8,讨论预制菜和现做，但核心是预制菜,true,rule+llm
bilibili_comment:274475224849,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,reply,经过处理的食材储存时间变长甚至变很长是符合科技的，但是不符合我们的嘴和胃，而且还不符合我们的钱包就很过分,2025-09-12T23:05:41+08:00,166,prepared_food_authenticity,0.75,规则命中 prepared_food_authenticity 关键词：食材。,prepared_food_authenticity,0.8,LLM校正：讨论食材处理和新鲜度,"{""prepared_food_authenticity"": [""食材""]}",prepared_food_authenticity,prepared_food_authenticity,0.8,讨论食材处理和新鲜度,false,rule+llm
bilibili_comment:274475277409,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,reply,对于售卖预制菜应不应该提前告知，我觉得结论是：应该，所有餐厅都应该，至于隔夜羊排卖200，我吃不吃是我的事，希望餐饮界能懂,2025-09-12T23:07:15+08:00,85,consumer_right_to_know,0.75,规则命中 consumer_right_to_know 关键词：告知。,consumer_right_to_know,0.9,LLM校正：强调应提前告知预制菜，保障知情权,"{""consumer_right_to_know"": [""告知""], ""prepared_food_authenticity"": [""预制菜"", ""隔夜"", ""预制""], ""catering_industry_general"": [""餐饮"", ""餐厅""]}","consumer_right_to_know,prepared_food_authenticity,catering_industry_general",consumer_right_to_know,0.9,强调应提前告知预制菜，保障知情权,true,rule+llm
bilibili_comment:274478548337,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,reply,西贝在北京最开始的时候是单店形式。大铁锅炖鱼，现烤羊排，莜面什么的，原来的西贝叫西贝莜面村。也不便宜，但是品质还可以，作为家庭或者朋友聚餐还可以，算是个有点质感的餐厅。现在是快餐了，预制菜半预制中央厨房出品基本100％了。保留下来的只有上餐时间超过免单这个。唉就说自己是半预制快餐怎么了，吉野家真功夫面条不都差不多么,2025-09-12T23:42:40+08:00,527,prepared_food_authenticity,0.75,"规则命中 prepared_food_authenticity 关键词：预制菜, 中央厨房, 预制。",prepared_food_authenticity,0.85,LLM校正：详细描述西贝从现做到预制菜中央厨房的转变,"{""prepared_food_authenticity"": [""预制菜"", ""中央厨房"", ""预制""], ""price_value"": [""便宜""], ""catering_industry_general"": [""餐厅""]}","prepared_food_authenticity,price_value,catering_industry_general",prepared_food_authenticity,0.85,详细描述西贝从现做到预制菜中央厨房的转变,true,rule+llm
bilibili_comment:274480640785,bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,comment,这次真的要支持老罗，客观维权，否则以后我们每个人都将是消费陷阱的受害者。,2025-09-13T00:04:19+08:00,192,luoyonghao_persona,0.9,"规则命中 luoyonghao_persona 关键词：老罗, 维权。",luoyonghao_persona,0.85,LLM校正：明确支持老罗，提及维权,"{""luoyonghao_persona"": [""老罗"", ""维权""]}",luoyonghao_persona,luoyonghao_persona,0.85,明确支持老罗，提及维权,false,rule+llm
bilibili_comment:274481022673,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,comment,百分之90的湘菜馆都是预制菜,2025-09-13T00:10:29+08:00,47,prepared_food_authenticity,0.9,"规则命中 prepared_food_authenticity 关键词：预制菜, 预制。",prepared_food_authenticity,0.85,LLM校正：指出湘菜馆普遍是预制菜,"{""prepared_food_authenticity"": [""预制菜"", ""预制""]}",prepared_food_authenticity,prepared_food_authenticity,0.85,指出湘菜馆普遍是预制菜,false,rule+llm
bilibili_comment:274481629265,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,reply,它都不嫌我穷，我为什么要嫌它low,2025-09-13T00:16:15+08:00,115,other_unclear,0.4,未命中明确主题关键词，暂归为其他/不明确。,other_unclear,0.6,LLM校正：调侃语句，未明确指向实质主题,,,other_unclear,0.6,调侃语句，未明确指向实质主题,true,rule+llm
bilibili_comment:274484898497,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,reply,我吃过两次，第一次是好奇，结论是又贵又难吃，第二次朋友非要去吃，结论还是又贵又难吃，反正是不会主动去碰西贝了,2025-09-13T00:59:03+08:00,36,price_value,0.75,规则命中 price_value 关键词：贵。,price_value,0.85,LLM校正：抱怨又贵又难吃，强调价格,"{""price_value"": [""贵""]}",price_value,price_value,0.85,抱怨又贵又难吃，强调价格,false,rule+llm
